nome,preco,ano,km,vendedor,localização,link,historico,vistoria,marca,motor
Jeep Renegade 1.8 Longitude Flex Aut. 5p,81499.0,2020,59000,Vendedor indepedente,Salvador,https://carro.mercadolivre.com.br/MLB-5053489922-jeep-renegade-2020-18-longitude-flex-aut-5p-_JM#position%3D33%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,0,0,Jeep,1.8
Volkswagen Polo Track 1.0 Flex 12v 5p,75990.0,2024,50051,Por Seminovos Movida,Salvador,https://carro.mercadolivre.com.br/MLB-4999265576-polo-track-10-flex-12v-5p-_JM#position%3D34%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,1,1,Volkswagen,1.0
Fiat Argo 1.0 Firefly Flex Drive Manual,54990.0,2020,63017,Vendedor indepedente,Salvador,https://carro.mercadolivre.com.br/MLB-3844950287-argo-10-firefly-flex-drive-manual-_JM#position%3D35%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,1,0,Fiat,1.0
Honda City Lx Cvt,64900.0,2016,133833,Vendedor indepedente,Lauro de Freitas,https://carro.mercadolivre.com.br/MLB-3831717881-honda-city-lx-cvt-2016-_JM#position%3D36%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,1,0,Honda,Não informado
Nissan Kicks 1.6 16v Flexstart Sl 4p Xtronic,85990.0,2019,64991,Vendedor indepedente,Salvador,https://carro.mercadolivre.com.br/MLB-3842666275-kicks-16-16v-flexstart-sl-4p-xtronic-_JM#position%3D37%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,1,0,Nissan,1.6
Renault Captur 1.6 16v Sce Flex Life X-tronic,73990.0,2020,82697,Vendedor indepedente,Lauro de Freitas,https://carro.mercadolivre.com.br/MLB-5016024252-captur-16-16v-sce-flex-life-x-tronic-_JM#position%3D38%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,1,0,Renault,1.6
Renault Captur 1.6 16v Sce Flex Intense X-tronic,77990.0,2020,43928,Vendedor indepedente,Salvador,https://carro.mercadolivre.com.br/MLB-5043390264-captur-16-16v-sce-flex-intense-x-tronic-_JM#position%3D39%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,1,0,Renault,1.6
Chevrolet Onix Ltz 1.0 Turbo (aut.),82790.0,2022,63039,Por Seminovos Movida,Lauro de Freitas,https://carro.mercadolivre.com.br/MLB-5033057152-onix-ltz-10-turbo-aut-_JM#position%3D40%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,1,1,Chevrolet,1.0
Toyota Rav4 2.0 Top 4x2 16v Gasolina 4p Automático,124900.0,2018,91283,Vendedor indepedente,Salvador,https://carro.mercadolivre.com.br/MLB-4979529204-toyota-rav4-20-top-4x2-16v-gasolina-4p-automatico-_JM#position%3D41%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,0,1,Toyota,2.0
Jeep Compass Limited F,105000.0,2018,40000,Vendedor indepedente,Eunápolis,https://carro.mercadolivre.com.br/MLB-5038340752-jeep-compass-limited-f-2018-_JM#position%3D42%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,1,0,Jeep,Não informado
